#CLAVE,  CARR,  CAL1, CAL2, PUNTOS, ORD, EXT
FS109, CIV, 0, 75, 40, 78, 
FS101, CIV, 35, 50, 40, 66, 
FS202, MEL, 30, 56, 40, 66, 
FS102, IQU, 90, 50, 40, 82, 
FS105, CEL, 50, 40, 30, 57, 
FS107, MEL, 86, 87, 40, 92, 
FS107, IQU, 71, 73, 40, 83, 
FS105, MEL, 57, 40, 29, 60, 
FS107, MEL, 57, 100, 39, 86, 
FS105, IND, 86, 85, 40, 91, 
FS105, CIV, 71, 90, 37, 85, 
FS101, TOP, 30, 35, 40, 60, 
FS109, TOP, 0, 67, 50, 84, 
FS102, CEL, 60, 8, 30, 50, 
FS103, MEL, 57, 53, 40, 73, 
FS108, CEL, 54, 63, 38, 73, 
FS107, MEL, 71, 100, 40, 91, 
FS104, MEL, 17, 14, 34, 43, 40
FS105, COM, 57, 75, 35, 75, 
FS105, QUI, 36, 65, 40, 70, 
FS105, IQU, 93, 90, 40, 95, 
FS103, CIV, 79, 47, 30, 68, 
FS105, COM, 79, 85, 40, 89, 
FS102, IQU, 70, 33, 20, 51, 
FS102, QUI, 20, 25, 40, 54, 62
FS103, MEL, 64, 47, 40, 73, 
FS105, CEL, 36, 20, 28, 45, 
FS105, IND, 71, 80, 40, 85, 
FS107, CEL, 64, 67, 40, 79, 
FS105, IQU, 64, 75, 40, 82, 
FS102, CEL, 40, 8, 35, 49, 54
FS108, CEL, 46, 63, 29, 62, 
FS108, CEL, 31, 44, 40, 62, 
FS107, MEL, 50, 100, 40, 85, 
FS105, MEL, 43, 90, 35, 75, 
FS105, IND, 93, 90, 40, 95, 
FS108, CEL, 54, 69, 0, 37, 
FS102, IQU, 70, 33, 40, 71, 
FS109, CIV, 0, 76, 50, 88, 
FS101, CIV, 70, 60, 40, 79, 
FS105, COM, 57, 55, 40, 74, 
FS109, CEL, 0, 71, 47, 82, 
FS105, CEL, 64, 45, 40, 73, 
FS102, IQU, 80, 67, 40, 84, 
FS104, MEL, 85, 79, 40, 89, 
FS104, CIV, 100, 100, 40, 100, 
FS104, CIV, 92, 79, 40, 91, 
FS105, COM, 79, 75, 40, 86, 
FS107, CEL, 50, 93, 38, 81, 
FS105, CEL, 57, 75, 40, 80, 
FS107, CEL, 14, 100, 40, 74, 
FS202, MEL, 30, 11, 38, 50, 49
FS104, CIV, 100, 79, 40, 94, 
FS102, COM, 40, 25, 40, 60, 
FS101, IND, 40, 25, 30, 50, 
FS102, QUI, 80, 50, 40, 79, 
FS202, CEL, 60, 11, 40, 61, 
FS108, CEL, 54, 75, 40, 79, 
FS104, CIV, 67, 79, 40, 84, 
FS107, CEL, 79, 87, 40, 90, 
FS105, CEL, 57, 80, 40, 81, 
FS105, CEL, 36, 80, 40, 75, 
FS107, CEL, 21, 87, 40, 72, 
FS102, QUI, 50, 17, 36, 56, 57
FS102, COM, 30, 8, 35, 46, 53
FS202, CEL, 40, 22, 40, 60, 
FS105, IND, 50, 50, 40, 70, 
FS102, COM, 30, 17, 40, 54, 
FS109, CIV, 0, 95, 47, 94, 
FS101, CIV, 60, 70, 40, 79, 
FS105, COM, 43, 45, 40, 66, 
FS102, COM, 50, 33, 34, 60, 
FS102, IQU, 60, 58, 40, 75, 
FS103, MEL, 36, 0, 0, 11, 
FS103, MEL, 29, 0, 0, 9, 
FS101, MAT, 80, 65, 40, 84, 
FS102, IND, 70, 25, 40, 68, 
FS108, , 38, 50, 40, 66, 
FS108, CEL, 38, 50, 40, 66, 
FS202, CEL, 40, 22, 40, 60, 
FS108, CEL, 69, 63, 40, 80, 
FS109, CEL, 0, 62, 36, 67, 
FS101, CEL, 25, 65, 40, 67, 
FS109, CEL, 0, 48, 25, 49, 
FS105, CEL, 57, 90, 40, 84, 
FS107, CEL, 29, 53, 30, 55, 
FS102, CEL, 50, 17, 40, 60, 
FS102, CEL, 40, 17, 40, 57, 
FS102, CEL, 70, 42, 40, 74, 
FS102, IND, 100, 25, 40, 78, 
FS108, CEL, 46, 81, 26, 64, 
FS202, CEL, 0, 44, 40, 53, 
FS102, IND, 50, 25, 30, 52, 
FS102, COM, 10, 0, 0, 3, 
FS104, MEL, 83, 93, 40, 93, 
FS108, CEL, 54, 63, 38, 73, 
FS202, CEL, 40, 56, 40, 69, 
FS109, TOP, 0, 33, 45, 62, 
FS101, TOP, 35, 30, 33, 52, 
FS102, COM, 40, 25, 40, 60, 
FS102, INF, 40, 8, 40, 54, 
FS102, CEL, 30, 8, 38, 49, 48
FS102, CEL, 60, 67, 40, 78, 
FS105, IND, 64, 75, 35, 77, 
FS105, CIV, 50, 80, 12, 51, 
FS105, IND, 64, 60, 40, 77, 
FS102, IQU, 70, 33, 40, 71, 
FS109, CEL, 0, 43, 13, 34, 
FS107, CEL, 29, 100, 0, 39, 
FS103, MEL, 43, 0, 0, 13, 
FS109, CEL, 0, 14, 0, 7, 
FS101, CEL, 5, 0, 0, 2, 
FS102, IND, 40, 17, 40, 57, 
FS105, CEL, 36, 45, 40, 64, 
FS107, CEL, 43, 100, 40, 83, 
FS202, CEL, 10, 22, 35, 45, 47
FS102, IND, 90, 50, 40, 82, 
FS102, COM, 20, 25, 40, 54, 
FS105, COM, 71, 90, 40, 88, 
FS102, IQU, 70, 50, 40, 76, 
FS105, CEL, 71, 75, 39, 83, 
FS107, CEL, 71, 87, 35, 82, 
FS105, CEL, 50, 50, 35, 65, 
FS107, CEL, 29, 60, 40, 67, 
FS105, MEL, 50, 0, 0, 15, 
FS105, CIV, 79, 90, 40, 91, 
FS102, IQU, 70, 50, 40, 76, 
FS105, CEL, 79, 95, 40, 92, 
FS107, CEL, 57, 100, 40, 87, 
FS105, IND, 71, 75, 40, 84, 
FS103, MEL, 50, 27, 40, 63, 
FS105, QUI, 29, 75, 40, 71, 
FS105, QUI, 57, 90, 0, 44, 
FS108, CEL, 23, 50, 0, 22, 
FS109, CIV, 0, 90, 40, 85, 
FS101, CIV, 55, 70, 40, 78, 
FS107, CEL, 57, 87, 38, 81, 
FS108, CEL, 31, 38, 0, 21, 16
FS202, CEL, 30, 33, 40, 60, 
FS105, COM, 50, 40, 40, 67, 
FS105, QUI, 50, 35, 40, 66, 
FS102, TOP, 10, 25, 40, 50, 
FS104, MEL, 100, 86, 40, 96, 
FS105, IND, 57, 90, 30, 74, 
FS105, COM, 86, 55, 40, 82, 
FS107, CEL, 0, 100, 0, 30, 
FS105, IND, 86, 90, 40, 93, 
FS109, CEL, 0, 0, 10, 10, 
FS105, COM, 50, 30, 40, 64, 
FS104, MEL, 92, 100, 40, 98, 
FS103, MEL, 79, 27, 38, 70, 
FS103, CIV, 79, 33, 39, 73, 
FS105, IQU, 43, 75, 40, 75, 
FS105, MEL, 36, 95, 40, 79, 
FS107, MEL, 36, 100, 40, 81, 
FS104, CIV, 92, 86, 39, 92, 
FS105, IND, 86, 50, 40, 81, 
FS202, MEL, 60, 56, 18, 53, 
FS105, COM, 0, 40, 0, 12, 
FS102, CEL, 30, 75, 5, 36, 
FS105, COM, 14, 45, 40, 60, 
FS102, CEL, 10, 17, 40, 48, 
FS102, COM, 40, 8, 40, 54, 62
FS202, CEL, 40, 22, 40, 60, 
FS108, CEL, 31, 25, 0, 17, 
FS102, COM, 20, 8, 20, 28, 
FS105, CIV, 93, 100, 40, 98, 
FS105, COM, 79, 80, 38, 86, 
FS109, CIV, 0, 67, 50, 84, 
FS105, FIS, 79, 85, 30, 79, 
FS102, QUI, 50, 17, 40, 60, 
FS101, CIV, 45, 60, 40, 72, 
FS109, CIV, 0, 62, 50, 81, 
FS105, COM, 43, 60, 28, 60, 
FS101, CIV, 40, 60, 40, 70, 
FS109, CIV, 0, 71, 50, 86, 
FS102, QUI, 30, 25, 40, 56, 68
FS105, CEL, 71, 90, 40, 88, 
FS107, CEL, 71, 93, 40, 89, 
FS102, IND, 100, 75, 40, 92, 
FS105, CIV, 36, 40, 40, 63, 
FS105, MEL, 64, 30, 15, 43, 
FS101, , 75, 90, 0, 50, 
FS102, IND, 20, 50, 40, 61, 
FS101, CEL, 30, 0, 30, 39, 
FS102, CEL, 20, 0, 6, 12, 
FS101, CEL, 30, 35, 37, 56, 
FS108, CEL, 85, 38, 0, 37, 79
FS107, CEL, 86, 93, 40, 94, 
FS105, CEL, 64, 90, 39, 85, 
FS105, COM, 57, 45, 36, 67, 
FS102, CEL, 60, 17, 40, 63, 
FS101, INF, 40, 35, 0, 22, 
FS104, MEL, 100, 71, 40, 91, 
FS107, MEL, 64, 73, 40, 81, 
FS105, IQU, 50, 95, 40, 84, 
FS105, IQU, 36, 80, 34, 69, 
FS202, MEL, 20, 67, 40, 66, 
FS109, CEL, 0, 62, 50, 81, 
FS105, MEL, 43, 30, 40, 62, 
FS103, MEL, 43, 40, 37, 62, 
FS202, CEL, 40, 22, 40, 60, 
FS108, CEL, 46, 56, 40, 71, 
FS104, CIV, 100, 93, 40, 98, 
FS102, IQU, 80, 67, 40, 84, 
FS107, CEL, 64, 67, 40, 79, 
FS102, CEL, 50, 25, 40, 62, 
FS105, CEL, 64, 70, 40, 80, 
FS107, CEL, 43, 67, 37, 70, 
FS105, CIV, 64, 95, 18, 66, 
FS104, CIV, 100, 100, 40, 100, 
FS102, COM, 60, 42, 40, 71, 
FS202, CEL, 50, 22, 35, 57, 
FS101, IND, 60, 0, 40, 60, 
FS105, CIV, 86, 85, 8, 60, 
FS101, , 65, 35, 0, 30, 
FS109, QUI, 0, 62, 45, 76, 
FS102, QUI, 30, 33, 35, 54, 50
FS105, COM, 43, 40, 40, 65, 
FS103, CIV, 21, 60, 40, 64, 
FS102, CEL, 70, 8, 34, 57, 
FS102, CEL, 60, 33, 40, 68, 
FS109, CEL, 0, 0, 9, 9, 
FS102, FIS, 40, 0, 0, 12, 
FS107, MEL, 64, 87, 38, 83, 
FS105, MEL, 86, 75, 35, 83, 
FS102, IQU, 90, 50, 40, 82, 
FS104, MEL, 58, 36, 0, 28, 40
FS108, CEL, 62, 69, 30, 69, 
FS202, CEL, 10, 22, 40, 50, 
FS109, TOP, 0, 38, 44, 63, 
FS104, MEL, 100, 93, 40, 98, 
FS105, QUI, 57, 85, 40, 83, 
FS103, MEL, 21, 27, 39, 53, 
FS104, MEL, 50, 57, 35, 67, 
FS105, CEL, 79, 85, 40, 89, 
FS107, CEL, 64, 87, 40, 85, 
FS102, INF, 60, 25, 40, 66, 
FS103, CIV, 86, 80, 40, 90, 
FS104, MEL, 100, 100, 40, 100, 
FS104, MEL, 83, 64, 33, 77, 
FS105, IND, 43, 80, 36, 73, 
FS202, CEL, 60, 22, 40, 65, 
FS108, CEL, 69, 44, 34, 68, 
FS105, IND, 57, 75, 40, 80, 
FS104, CIV, 100, 64, 40, 89, 
FS102, IQU, 80, 42, 40, 77, 
FS102, IND, 80, 42, 40, 77, 
FS105, IND, 21, 0, 0, 6, 
FS105, COM, 64, 75, 40, 82, 
FS101, MAT, 35, 55, 39, 66, 
FS102, CEL, 70, 58, 39, 77, 
FS102, CEL, 40, 25, 38, 60, 
FS104, MEL, 58, 71, 40, 79, 
FS102, IND, 80, 58, 36, 77, 
FS101, COM, 40, 30, 40, 61, 
FS102, COM, 20, 33, 40, 56, 
FS103, MEL, 21, 47, 39, 60, 
FS101, IND, 30, 0, 0, 9, 
FS101, TOP, 40, 20, 25, 43, 53
FS109, TOP, 0, 43, 46, 68, 
FS104, CIV, 42, 36, 38, 61, 
FS105, QUI, 43, 75, 40, 75, 
FS102, IND, 20, 17, 40, 51, 
FS105, COM, 64, 35, 40, 70, 
FS102, IND, 40, 8, 39, 53, 
FS102, QUI, 50, 17, 15, 35, 
FS104, CIV, 50, 57, 0, 32, 
FS105, COM, 36, 35, 36, 57, 59
FS202, MEL, 50, 22, 40, 62, 
FS108, CEL, 54, 44, 40, 69, 
FS202, CEL, 10, 22, 40, 50, 
FS101, CEL, 10, 0, 20, 23, 
FS104, CIV, 100, 43, 40, 83, 
FS107, CEL, 50, 53, 0, 31, 
FS105, QUI, 56, 75, 40, 79, 
FS105, MEL, 14, 55, 0, 21, 
FS107, MEL, 57, 73, 37, 76, 
FS202, MEL, 20, 78, 40, 69, 
